model - 1592054525, 1592054528.476, 0.62,0.2356, 0.63, 0.2375
model - 1592054525, 1592054528.532, 0.63,0.2331, 0.7, 0.2384
model - 1592054525, 1592054528.592, 0.6,0.2417, 0.52, 0.251
model - 1592054525, 1592054528.649, 0.57,0.237, 0.51, 0.2547
model - 1592054525, 1592054528.716, 0.59,0.2393, 0.62, 0.222
model - 1592054525, 1592054528.772, 0.59,0.241, 0.55, 0.243
model - 1592054525, 1592054528.831, 0.56,0.2447, 0.57, 0.2328
model - 1592054525, 1592054528.889, 0.55,0.2533, 0.53, 0.2456
model - 1592054525, 1592054528.947, 0.57,0.2311, 0.62, 0.2344
model - 1592054525, 1592054529.003, 0.63,0.2259, 0.65, 0.2304
model - 1592054525, 1592054529.061, 0.68,0.2186, 0.63, 0.2316
model - 1592054525, 1592054529.116, 0.59,0.2424, 0.64, 0.222
model - 1592054525, 1592054529.176, 0.63,0.2263, 0.66, 0.2231
model - 1592054525, 1592054529.235, 0.61,0.2289, 0.54, 0.243
model - 1592054525, 1592054529.293, 0.62,0.2306, 0.65, 0.2307
model - 1592054525, 1592054529.349, 0.59,0.2374, 0.63, 0.2249
model - 1592054525, 1592054529.405, 0.63,0.2204, 0.62, 0.2341
model - 1592054525, 1592054529.473, 0.62,0.2282, 0.61, 0.2165
model - 1592054525, 1592054529.535, 0.59,0.2443, 0.53, 0.2686
model - 1592054525, 1592054529.592, 0.59,0.2328, 0.56, 0.2498
model - 1592054525, 1592054529.656, 0.61,0.2317, 0.6, 0.2253
model - 1592054525, 1592054529.714, 0.64,0.2236, 0.72, 0.2084
model - 1592054525, 1592054529.773, 0.65,0.2257, 0.54, 0.2426
model - 1592054525, 1592054529.829, 0.56,0.2386, 0.62, 0.2373
model - 1592054525, 1592054529.89, 0.58,0.2373, 0.61, 0.2257
model - 1592054525, 1592054529.945, 0.62,0.2355, 0.56, 0.248
model - 1592054525, 1592054530.003, 0.57,0.2509, 0.58, 0.2425
model - 1592054525, 1592054530.059, 0.59,0.2305, 0.54, 0.2471
model - 1592054525, 1592054530.122, 0.58,0.2445, 0.64, 0.2301
model - 1592054525, 1592054530.178, 0.61,0.2343, 0.64, 0.2343
model - 1592054525, 1592054530.237, 0.64,0.224, 0.6, 0.2277
model - 1592054525, 1592054530.293, 0.57,0.2397, 0.59, 0.2465
model - 1592054525, 1592054530.351, 0.58,0.2364, 0.61, 0.2264
model - 1592054525, 1592054530.409, 0.59,0.2317, 0.56, 0.2398
model - 1592054525, 1592054530.474, 0.57,0.236, 0.56, 0.2375
model - 1592054525, 1592054530.53, 0.56,0.2458, 0.61, 0.2397
model - 1592054525, 1592054530.59, 0.64,0.225, 0.68, 0.219
model - 1592054525, 1592054530.645, 0.55,0.2434, 0.62, 0.2407
model - 1592054525, 1592054530.705, 0.5,0.2589, 0.69, 0.2202
model - 1592054525, 1592054530.769, 0.6,0.2343, 0.6, 0.2328
model - 1592054525, 1592054530.831, 0.61,0.2324, 0.65, 0.2348
model - 1592054525, 1592054530.886, 0.64,0.2314, 0.67, 0.2165
model - 1592054525, 1592054530.945, 0.66,0.2275, 0.6, 0.2364
model - 1592054525, 1592054531.0, 0.54,0.2515, 0.67, 0.2084
model - 1592054525, 1592054531.061, 0.59,0.2313, 0.54, 0.2418
model - 1592054525, 1592054531.12, 0.61,0.2299, 0.67, 0.2193
model - 1592054525, 1592054531.179, 0.63,0.2415, 0.56, 0.2407
model - 1592054525, 1592054531.235, 0.64,0.2225, 0.57, 0.2486
model - 1592054525, 1592054531.294, 0.57,0.2284, 0.61, 0.2359
model - 1592054525, 1592054531.348, 0.68,0.221, 0.64, 0.2301
model - 1592054525, 1592054531.41, 0.61,0.2337, 0.69, 0.2121
model - 1592054525, 1592054531.465, 0.62,0.225, 0.69, 0.224
model - 1592054525, 1592054531.533, 0.59,0.2376, 0.69, 0.2127
model - 1592054525, 1592054531.59, 0.62,0.2302, 0.72, 0.2096
model - 1592054525, 1592054531.648, 0.63,0.2242, 0.49, 0.2617
model - 1592054525, 1592054531.708, 0.56,0.2433, 0.59, 0.2369
model - 1592054525, 1592054531.776, 0.57,0.2427, 0.63, 0.216
model - 1592054525, 1592054531.833, 0.61,0.2265, 0.65, 0.2284
model - 1592054525, 1592054531.891, 0.61,0.2267, 0.66, 0.215
model - 1592054525, 1592054531.947, 0.61,0.2355, 0.66, 0.2102
model - 1592054525, 1592054532.013, 0.67,0.219, 0.6, 0.2301
